frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
333,6.786,82.62,10.02,70.59,1
334,6.803,82.62,10.02,70.59,1
335,6.835,100.1,8.51,90.59,1
336,6.853,100.1,8.51,90.59,1
337,6.87,100.1,8.51,90.59,1
338,6.888,100.1,8.51,90.59,1
339,6.912,78.09,8.51,68.58,1
340,6.93,78.09,8.51,68.58,1
341,6.948,78.09,8.51,68.58,1
342,6.965,78.09,8.51,68.58,1
343,6.982,81.62,11.52,70.1,1
344,7.003,81.62,11.52,70.1,1
345,7.02,81.62,11.52,70.1,1
346,7.05,81.62,11.52,70.1,1
347,7.072,78.61,9.52,69.09,1
348,7.09,78.61,9.52,69.09,1
349,7.118,78.61,9.52,69.09,1
350,7.134,78.61,9.52,69.09,1
351,7.156,79.6,10.51,68.09,1
352,7.174,79.6,10.51,68.09,1
353,7.191,79.6,10.51,68.09,1
354,7.211,79.6,10.51,68.09,1
355,7.23,79.6,10.51,68.09,1
356,7.251,79.59,9.52,69.07,1
357,7.266,79.59,9.52,69.07,1
358,7.296,79.59,9.52,69.07,1
359,7.315,77.59,9.52,68.06,1
360,7.334,77.59,9.52,68.06,1
361,7.351,77.59,9.52,68.06,1
362,7.369,77.59,9.52,68.06,1
363,7.401,77.6,9.52,68.08,1
364,7.419,77.6,9.52,68.08,1
365,7.437,77.6,9.52,68.08,1
366,7.454,77.6,9.52,68.08,1
367,7.471,77.6,9.52,68.08,1
368,7.493,81.63,9.52,70.61,1
369,7.511,81.63,9.52,70.61,1
370,7.531,81.63,9.52,70.61,1
371,7.548,81.63,9.52,70.61,1
372,7.571,81.59,9.51,72.08,1
373,7.589,81.59,9.51,72.08,1
374,7.606,81.59,9.51,72.08,1
375,7.625,81.59,9.51,72.08,1
376,7.643,81.59,9.51,72.08,1
377,7.66,81.59,9.51,72.08,1
378,7.685,105.63,9.53,95.1,1
379,7.702,105.63,9.53,95.1,1
380,7.731,105.63,9.53,95.1,1
381,7.765,80.59,11.51,69.08,1
382,7.783,80.59,11.51,69.08,1
383,7.8,80.59,11.51,69.08,1
384,7.817,80.59,11.51,69.08,1
385,7.834,80.59,11.51,69.08,1
386,7.851,80.59,11.51,69.08,1
387,7.874,105.62,11.52,93.1,1
388,7.893,105.62,11.52,93.1,1
389,7.913,105.62,11.52,93.1,1
390,7.931,105.62,11.52,93.1,1
391,7.948,105.62,11.52,93.1,1
392,7.966,105.62,11.52,93.1,1
393,7.999,108.3,11.68,96.11,1
394,8.017,108.3,11.68,96.11,1
395,8.033,108.3,11.68,96.11,1
396,8.051,108.3,11.68,96.11,1
397,8.072,80.11,9.51,70.6,1
398,8.089,80.11,9.51,70.6,1
399,8.107,80.11,9.51,70.6,1
400,8.131,58.57,10.51,47.05,1
401,8.148,58.57,10.51,47.05,1
402,8.166,58.57,10.51,47.05,1
403,8.183,58.57,10.51,47.05,1
404,8.206,59.6,10.03,47.05,1
405,8.222,59.6,10.03,47.05,1
406,8.241,59.6,10.03,47.05,1
407,8.263,59.07,9.51,48.56,1
408,8.281,59.07,9.51,48.56,1
409,8.298,59.07,9.51,48.56,1
410,8.32,60.07,10.51,49.56,1
411,8.338,60.07,10.51,49.56,1
412,8.366,60.07,10.51,49.56,1
413,8.388,58.06,10.51,47.55,1
414,8.405,58.06,10.51,47.55,1
415,8.423,58.06,10.51,47.55,1
416,8.452,58.06,10.51,47.55,1
417,8.474,80.09,10.51,68.57,1
